procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 238532  30152 755748    0    0     0   189 7383 13265 26  7 67  0  0
 0  0      0 236360  30184 756884    0    0     0   210 7239 13113 26  7 67  0  0
 5  0      0 235696  30216 758196    0    0     0   131 7295 13273 25  7 68  0  0
 1  1      0 217688  30324 775432    0    0     0  1038 7470 13463 26  7 66  1  0
 4  1      0 171764  30372 822276    0    0     1  3310 7438 13247 26  8 52 13  0
 0  0      0 369156  30444 626220    0    0     0   522 7427 13314 25  8 62  4  0
 4  0      0 367324  30476 627456    0    0     0   182 7347 13277 25  7 68  0  0
 1  0      0 364844  30504 628700    0    0     0   206 7410 13469 25  7 68  0  0
 4  0      0 365808  30544 629776    0    0     0   134 7417 13423 27  7 66  0  0
 4  1      0 347856  30656 647188    0    0     0   917 7503 13585 25  7 67  1  0
 4  1      0 320228  30716 674128    0    0     0  2229 7549 13300 27  8 50 15  0
 0  2      0 317660  30768 676096    0    0     0  1047 7469 13286 26  7 51 16  0
 3  1      0 291928  30820 703040    0    0     0  1623 7565 13325 26  8 51 16  0
 1  0      0 290320  30852 704172    0    0     0   902 7442 13301 27  7 66  0  0
 0  0      0 288708  30888 705424    0    0     0   191 7452 13311 26  7 68  0  0
 2  1      0 269028  31016 722928    0    0     0  1007 7588 13547 26  8 66  1  0
 0  2      0 234724  31048 758040    0    0     0  3316 7469 13181 25  8 37 30  0
 2  0      0 229948  31084 764468    0    0     0   831 7479 13348 24  7 61  8  0
 1  0      0 225788  31140 768672    0    0     0   141 7230 13134 24  7 69  0  0
 0  0      0 224492  31172 769848    0    0     0   441 7372 13219 25  7 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 224308  31212 770924    0    0     0   191 7306 13224 25  7 68  0  0
 2  1      0 205796  31328 788204    0    0     0   910 7491 13383 26  8 65  1  0
 0  1      0 162972  31388 829116    0    0     0  2856 7593 13373 26  8 51 14  0
 1  2      0 295404  31416 695656    0    0     0  1473 7669 13455 25  8 50 16  0
 2  0      0 330464  31488 663724    0    0     0   441 7610 13413 26  8 61  5  0
 0  0      0 329324  31512 664996    0    0     0   137 7349 13255 25  7 68  0  0
 2  0      0 327960  31536 666184    0    0     0   204 7440 13416 25  7 68  0  0
 3  1      0 310292  31656 682724    0    0     0  1044 7640 13628 26  8 65  1  0
 0  2      0 265160  31680 726324    0    0     0  3401 7641 13326 26  9 45 20  0
 1  0      0 260044  31728 733932    0    0     0  1314 7658 13429 27  8 60  6  0
 1  0      0 258820  31752 735136    0    0     0   446 7508 13331 26  8 66  0  0
 1  0      0 253652  31804 739860    0    0     0   410 7597 13430 26  7 67  0  0
 0  0      0 251840  31820 740976    0    0     0   190 7318 13202 24  7 69  0  0
 0  1      0 234088  31924 757744    0    0     0   985 7546 13488 25  8 67  1  0
 0  1      0 186496  31948 804452    0    0     0  3616 7744 13494 26  9 50 15  0
 6  0      0 176384  32008 816948    0    0     0  1966 7554 13363 25  8 67  0  0
 6  0      0 174928  32032 818072    0    0     0   184 7455 13269 26  7 67  0  0
 1  0      0 170168  32088 822256    0    0     0   416 7297 13184 26  7 67  0  0
 4  0      0 156020  32272 834032    0    0     5   543 7672 13403 27  8 64  1  0
 8  2      0 124616  32392 861936    0    0     0  2493 7745 13657 27  8 64  1  0
15  2      0 110252  32448 878344    0    0     0  2808 7630 13406 27  8 47 19  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 303880  32496 686084    0    0     0  1540 7568 13402 26  9 53 12  0
 3  0      0 299340  32544 689952    0    0     0   474 7415 13385 25  7 67  1  0
 5  0      0 295992  32608 693784    0    0     0   151 7580 13390 26  7 67  0  0
 2  0      0 295076  32632 694948    0    0     0   467 7428 13252 26  7 66  0  0
 6  2      0 262172  32768 724924    0    0     0  2108 7715 13595 27  8 64  1  0
 1  1      0 222828  32816 765608    0    0     1  2770 7850 13513 28  9 47 16  0
 1  0      0 214476  32856 775060    0    0     0  1832 7605 13377 26  8 64  2  0
 8  0      0 210828  32896 779364    0    0     0   468 7466 13393 25  8 67  0  0
 4  0      0 205520  32900 783672    0    0     0   464 7557 13339 26  8 66  0  0
 4  0      0 205056  32900 784956    0    0     0   399 7437 13227 27  7 65  0  0
 3  1      0 185956  32900 801884    0    0     0  1150 7781 13589 27  8 64  1  0
 6  1      0 134420  32900 853412    0    0     0  3947 7644 13343 27  9 51 14  0
 4  0      0 264276  32932 724844    0    0     0  1436 7648 13418 27  8 57  8  0
 3  0      0 261148  32932 728668    0    0     0   198 7460 13266 26  7 66  0  0
 5  0      0 259892  32932 729728    0    0     0   401 7686 13551 26  7 67  0  0
 1  0      0 255180  32932 733840    0    0     0   225 7542 13401 26  7 67  0  0
 1  1      0 238628  32932 750108    0    0     0   916 7623 13554 27  8 65  1  0
 1  1      0 186748  32932 801792    0    0     0  4247 7664 13332 26  8 50 15  0
 1  0      0 181832  32932 807280    0    0     0  1381 7452 13302 25  7 66  2  0
 1  0      0 180596  32932 808268    0    0     0   178 7347 13360 26  7 67  0  0
 3  0      0 178780  32932 809540    0    0     0   127 7514 13490 25  7 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 178892  32940 811660    0    0     0   224 7492 13358 26  7 67  0  0
 1  1      0 158468  32940 830288    0    0     0  1070 7522 13462 26  8 65  1  0
10  3      0 211028  32940 777604    0    0     0  2216 7561 13297 27  8 46 19  0
 1  2      0 203712  32940 784252    0    0     0  1626 7630 13461 26  7 31 36  0
 4  0      0 239896  32972 748912    0    0     0   837 7478 13276 26  7 61  6  0
 2  0      0 238996  32980 750212    0    0     0   133 7464 13431 26  7 67  0  0
 1  0      0 238068  32992 751232    0    0     0   182 7546 13479 26  7 67  0  0
 1  1      0 218568  33004 769744    0    0     0  1128 7635 13565 27  8 65  1  0
