16时00分16秒,cpu,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%idle
16时04分46秒,1,43.06,0.00,0.60,0.00,0.00,0.00,0.00,0.00,56.34
16时04分46秒,2,31.70,0.00,5.93,0.00,0.00,0.00,0.00,0.00,62.37
16时04分46秒,3,55.33,0.00,4.23,0.20,0.00,0.00,0.00,0.00,40.24
16时04分51秒,all,41.14,0.00,6.47,0.00,0.00,0.36,0.00,0.00,52.04
16时04分51秒,0,22.01,0.00,14.68,0.00,0.00,1.47,0.00,0.00,61.84
16时04分51秒,1,43.29,0.00,0.80,0.00,0.00,0.00,0.00,0.00,55.91
16时04分51秒,2,37.76,0.00,6.53,0.00,0.00,0.00,0.00,0.00,55.71
16时04分51秒,3,60.52,0.00,4.21,0.00,0.00,0.00,0.00,0.00,35.27
16时04分56秒,all,41.70,0.00,6.82,0.10,0.00,1.63,0.00,0.00,49.75
16时04分56秒,0,24.69,0.00,15.27,0.00,0.00,6.69,0.00,0.00,53.35
16时04分56秒,1,48.59,0.00,0.60,0.00,0.00,0.00,0.00,0.00,50.80
16时04分56秒,2,30.14,0.00,6.72,0.20,0.00,0.00,0.00,0.00,62.93
16时04分56秒,3,62.70,0.00,5.04,0.00,0.00,0.00,0.00,0.00,32.26
16时05分01秒,all,39.85,0.00,7.51,2.54,0.00,0.41,0.00,0.00,49.70
16时05分01秒,0,22.04,0.00,17.05,10.40,0.00,1.66,0.00,0.00,48.86
16时05分01秒,1,44.06,0.00,0.40,0.00,0.00,0.00,0.00,0.00,55.53
16时05分01秒,2,33.40,0.00,7.29,0.20,0.00,0.00,0.00,0.00,59.11
16时05分01秒,3,59.04,0.00,5.42,0.00,0.00,0.00,0.00,0.00,35.54
16时05分06秒,all,38.54,0.00,9.38,12.78,0.00,0.51,0.00,0.00,38.79
16时05分06秒,0,23.55,0.00,22.52,51.86,0.00,2.07,0.00,0.00,0.00
16时05分06秒,1,41.37,0.00,0.60,0.00,0.00,0.00,0.00,0.00,58.03
16时05分06秒,2,33.06,0.00,8.72,0.00,0.00,0.00,0.00,0.00,58.22
